Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
95760,Kratom,Preparation / Recipes,,Not Applicable,,,Not-Specified,DIY Resin Balls,Bc89,Apr 22 2012,6212
63623,Amphetamines,"General,Retrospective / Summary,Addiction & Habituation,Performance Enhancement,Multi-Day Experience",,Not Applicable,oral,,Female,Retrospect Of My Five Day Feen,Insomniac Doze,Jan 20 2010,14951
53495,Kava,"Health Problems,Multi-Day Experience",,Not Applicable,oral,,Male,Tachycardia and Insomnia,Fort-Spec,Jan 10 2010,9266
53486,"Ayahuasca,Harmala Alkaloids,Mimosa spp.,Syrian Rue","General,Combinations,Retrospective / Summary",,Alone,oral,,Male,Meeting with the Otherness,Anonymous,Oct 6 2007,15283
52519,"DXM,Pharmaceuticals,Pharms - Bupropion","Combinations,Health Problems,Sex Discussion,Hangover / Days After",,Unknown Context,oral,,Male,Erectile Disfunction & Other Side Effects,David,Jan 1 2011,6762
51901,DXM,"Retrospective / Summary,Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Post Trip Problems,Second Hand Report,Relationships,Overdose",,Not Applicable,oral,,Male,My Long Experiences,David Snow,Sep 30 2007,32475
51446,Kava,Retrospective / Summary,,Not Applicable,oral,,Male,The Perfect Recreational Substance,I_luv_kava,Jan 10 2010,22253
50448,Pharms - Venlafaxine,"Retrospective / Summary,Health Problems,Health Benefits,Medical Use,Hangover / Days After,Multi-Day Experience",,Not Applicable,oral,,Female,From a Nurse's Perspective,J. Daniels,Jul 11 2010,10102
49504,DXM,General,Drug Testing,Not Applicable,oral,,Male,Never Touched It,...,Sep 22 2007,4319
46958,LSD,"Health Problems,Post Trip Problems,HPPD / Lasting Visuals",,Not Applicable,oral,,Male,Hallucinogen Persisting Perception Disorder,Nick,Sep 21 2007,8732
46070,DHEA,"Retrospective / Summary,Health Problems,Performance Enhancement,Hangover / Days After",,Not Applicable,oral,,Male,Tastes Better Than It Feels,Rabbit,Jun 28 2010,8683
45839,Nutmeg,"Retrospective / Summary,Health Benefits",,Not Applicable,oral,,Not-Specified,Helpful Herb,Belialith,Apr 22 2010,9222
45392,"Codeine,Opiates,Pharms - Cyclobenzaprine,Pharms - Tramadol","Retrospective / Summary,Hangover / Days After",,Not Applicable,oral,,Male,The Beauty of Being Opiated,Guru Sigma,Nov 16 2007,180103
45096,Amphetamines,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,oral,,Female,Accelerated Alice,Alice Cheetah,Nov 1 2007,7701
54547,"Pharms - Paroxetine,SSRIs",Glowing Experiences,,Not Applicable,oral,,Female,Like Rollin Everyday,Erinbliss,Mar 4 2011,11113
54714,Pharms - Buprenorphine,"Glowing Experiences,Medical Use,Depression",,Not Applicable,oral,,Male,A Miracle Drug,Shane,Oct 7 2007,33196
63550,"Kava,Pharms - Tramadol","Combinations,Health Benefits",,Not Applicable,oral,,Male,Recreationally and as a Tool,PharmPhan,Jan 10 2010,18004
62946,Pharms - Mirtazapine,"Combinations,Retrospective / Summary,Medical Use,Depression",,Not Applicable,oral,,Male,"Enjoyable, with Some Concerns",Peter,Jul 21 2010,18353
62493,Milk Thistle,"Retrospective / Summary,Multi-Day Experience,Therapeutic Intent or Outcome",,Not Applicable,oral,,Male,Feelin' Good,Bryan,Nov 17 2009,7290
61986,"Alcohol,Milk Thistle","General,Retrospective / Summary,Health Benefits,Hangover / Days After",,Not Applicable,oral,,Male,Perfect For Drunkards and Those Alike,:),Nov 17 2009,10863
61736,"Alcohol,Kava","Combinations,Health Problems",,Large Group (10+),oral,,Male,A Mighty Rash,Dr B,Jan 10 2010,9713
61401,Pharms - Quetiapine,Retrospective / Summary,,Not Applicable,oral,,Male,Sleeping Through Jail Time,Quetiapine,Nov 29 2007,36115
61077,"Pharms - Venlafaxine,Various","Combinations,Retrospective / Summary,Depression",,Not Applicable,oral,,Female,Hyper and Compulsive,Jellie,Jul 12 2010,6428
60858,"Opiates,Poppies - Opium","Retrospective / Summary,Preparation / Recipes",,Not Applicable,oral,,Male,Making Tea,Anonymous,Oct 16 2007,41602
57816,Pharms - Mirtazapine,"Retrospective / Summary,Medical Use,Depression",,Not Applicable,oral,,Male,Not a Cure But Best Yet,Flash In the Pan,Jul 21 2010,7292
57584,GBL,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,oral,,Male,My First Chemical Love,Lecaotter,Oct 17 2007,14794
56727,DXM,General,Drug Testing,Unknown Context,oral,,Male,False Positive for PCP and Opiates,Raoul_1313,Sep 22 2007,4770
56602,Pharms - Mirtazapine,"Retrospective / Summary,Health Benefits,Medical Use,Sex Discussion,Depression",,Not Applicable,oral,,Male,Very Helpful,Arquin,Jul 21 2010,10661
44545,"Methadone,Opioids","Retrospective / Summary,Hangover / Days After,Relationships,Depression",,Not Applicable,oral,,Male,Happy Apathy,Seymour,Oct 17 2007,21324
