Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
1,"MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,An Unforgettable Ride!,Johnny Blaze,May 30 2000,72635
124,"MDMA[method]oral[amount]2 tablets[form]pill / tablet,Mushrooms[method]oral[amount]2 cups[form]tea,Stimulants",,,,,Medium,,Mushrooms & Pills - Really worth it?,Mr Geezer,Jul 20 2001,4886
127,LSD[method]oral[amount]1 hit[form]blotter / tab,,,,,Medium,,A Delightful New Years' Eve,YD 'The Bear',Jul 30 2001,3356
128,DPT[method]insufflated[amount]110 mg[form]powder / crystals,,,,,Strong,,Passing Into the Matrix,Cyber,Sep 10 2000,7850
130,GBL[method]oral[amount]4 tsp[form]liquid,,,,,Strong,,GHB overdose?,tM,Jul 18 2000,16648
131,DMT[method]smoked[amount]30 mg[form]powder / crystals,,,,,Medium,,To Play the Breathe Divine,Mythago,Sep 9 2000,40382
132,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Mushrooms[method]oral[amount]3.0 g[form]dried,Stimulants",,,,,Strong,,Webs of Light,Nick,Jul 30 2001,14215
133,"DXM[method]oral[amount]236 mg[form]liquid,DXM[method]oral[amount]236 mg[form]liquid",,,,,Strong,,Pixellated Dogs and Other Hallucinations,S.M.,Jul 30 2001,79452
135,"Ketamine[method]IM[amount]0.08 ml[form]liquid,NMDA Antagonists",,,,,Medium,,Ketamine Blows,Doobie,Jun 10 2000,21360
136,Valerian[method]oral[amount]2.0 ml[form]extract,,,,,Medium,,"Repeating, Detailed Dreams",Shaft,Jul 30 2001,21069
137,H.B. Woodrose[method]oral[amount]30 seeds[form]seeds,,,,,No Effect,,I Took 30 Seeds and Nothing Happened!,The Ladies Man,Oct 4 2000,23637
138,Salvia divinorum[method]smoked[amount]1.0 g[form]dried,,,,,Strong,,4th Dimension Horizontal Waves of Energy,Satyasat,Jul 30 2001,11036
142,Nitrous Oxide[method]inhaled[amount]repeated[form]gas,,,,,Medium,,Gascid,Adwin Save,Jul 11 2001,20537
143,Mushrooms[method]oral[amount]4.0 g[form]dried,,,,,Medium,,Cops Ruin a Perfectly Wonderful Mushroom Trip,Mike,Aug 9 2001,24571
145,Salvia divinorum[method]smoked[amount]0.5 g[form]leaves,,,,,Light,,Dizzy and Uncoordinated,Jersey Joe,Mar 4 2001,3688
154,LSD[method]oral[amount]2 hits[form]liquid,,,,,Strong,,So Close - First and Worst,Felix,Jun 10 2000,14510
155,"GHB[method]oral[form]liquid,MDMA[method]oral[amount]2 tablets[form]pill / tablet,Stimulants",,,,,Medium,,Violent Spasms,G Spin,Jul 30 2001,17885
157,Cannabis[method]oral[form]cookie / food,,,,,Strong,,6 Miles to the House,Blinded Cerebus,Aug 15 2001,8621
162,LSD[method]oral[amount]9 hits[form]gel tab,,,,,Medium,,Look Before You Swallow,Mouth,Aug 9 2001,27273
163,"Ketamine[method]IM[amount]300 mg[form]liquid,NMDA Antagonists",,,,,Medium,,K is for Kitties,Casey K-Hole,Jul 30 2001,10673
